4,b0ce6c0b-c939-4a80-bd95-a3c3c750c8ab,216,5,0,Color,light,Global,Hues,NaN,NaN,NaN,FilmColors
5,36230703-0f6e-4a77-93ce-60eea1ef78be,211,2,0,Color,grey,Global,Hues,NaN,NaN,NaN,FilmColors
6,08f9c097-cca0-4dbc-8a1f-a4746c2f5d42,218,6,0,Color,gold,Global,Hues,NaN,NaN,NaN,FilmColors
7,70ccc129-4efd-494f-9b9f-d9e6c5d957a7,214,3,0,Color,desaturated,Global,Hues,NaN,NaN,NaN,FilmColors
8,8050e628-9939-49f6-a6a2-94bb13171762,215,5,0,Color,dark,Global,Hues,NaN,NaN,NaN,FilmColors
9,3fc4fa1b-cfe4-4004-aa54-d7d813e91ea3,207,2,0,Color,cream,Global,Hues,A broken white color with a slight yellowish hue.,leicht gelblich gebrochenes Weiss,NaN,FilmColors
10,bd7c5e61-3f40-4622-95ed-6fac044b44ef,220,6,0,Color,copper,Global,Hues,NaN,NaN,NaN,FilmColors
11,1ab1bd63-5604-4772-bb56-688816866746,206,2,0,Color,brown,Global,Hues,NaN,NaN,NaN,FilmColors
45,26d23bb2-c6ec-4d24-8fed-73b6948305bf,1193,0,0,Color,color gradient,Female Support,Hues,NaN,NaN,NaN,FilmColors
46,497aec47-d379-42c9-8bcc-b5f6b43061c2,1214,0,0,Color,coral,Female Support,Hues,NaN,NaN,NaN,FilmColors
47,1c8578fe-fd60-4c8d-9799-502f181eace0,1151,7,0,Color,lavender,Female Support,Hues,NaN,NaN,NaN,FilmColors
48,ff080481-1ce8-412d-8a5f-685835be9618,1186,6,0,Color,bronze,Female Support,Hues,NaN,NaN,NaN,FilmColors
49,ed9dec1b-31d5-4edd-b22c-d3016fd6ae30,1144,7,0,Color,amber,Female Support,Hues,NaN,NaN,NaN,FilmColors
50,fb026bba-63ae-4a0f-8e8e-dbc3a66630d9,1118,6,0,Color,copper,Female Support,Hues,NaN,NaN,NaN,FilmColors
51,6ca2275b-c49c-42b2-bc9e-e488dd295180,1084,5,0,Color,dark,Female Support,Hues,NaN,NaN,NaN,FilmColors
52,99d8b205-aefd-4324-96a9-8c5c78a62f43,1076,3,0,Color,desaturated,Female Support,Hues,NaN,NaN,NaN,FilmColors
53,aebf9b4b-d3e0-4ec6-86fe-a151d0811c47,1104,6,0,Color,gold,Female Support,Hues,NaN,NaN,NaN,FilmColors
54,4d7737e5-7f4b-44a1-9f26-f508cbd68925,963,1,0,Color,green,Female Support,Hues,NaN,NaN,NaN,FilmColors
55,ba17745b-d32b-417a-adcf-fc8e6ce3e0be,992,1,0,Color,cyan,Female Support,Hues,NaN,NaN,NaN,FilmColors
56,4de12fb2-095c-4451-bff9-d42601e3eee1,1027,2,0,Color,cream,Female Support,Hues,Slightly yellowish broken white.,leicht gelblich gebrochenes Weiss,NaN,FilmColors
57,1805e3ca-5269-4a4f-954d-b406ddd2f55c,1020,2,0,Color,brown,Female Support,Hues,NaN,NaN,NaN,FilmColors
58,9644fa95-3e76-4d0d-a29a-d51ab02753a5,971,1,0,Color,blue,Female Support,Hues,NaN,NaN,NaN,FilmColors
59,603a7640-d4f2-4641-a55c-a8b446a4d777,1041,2,0,Color,black,Female Support,Hues,NaN,NaN,NaN,FilmColors
