"anger","Anger describes negative feelings of violence and bitterness"
"contempt","Contempt describes negative feelings of despise and disdain"
"disgust","Disgust describes negative feelings that are offensive, distasteful or unpleasant"
"enjoyment","Enjoyment is a positive feelings of contentment to intense joy"
"fear","Fear describes negtative feelings that are unpleasant like danger"
"sadness","Sadness describes negative feelings of emotional pain like loss, disappointment"
"surprise","Surprise describes positive feelings when something unexpected or unusual happens"
"neutral","Neutral feeling that is neither negative nor positive"
