rural,"The image focuses on a space characterised by nature, agriculturally used areas, and only a few individual houses or small villages"
industrial,"The image focusses on a space characterised by industrial buildings, chimneys, factories"
urban,"The image focuses on urban space characterised by dense development (e.g. skyscrapers), strong (transport) infrastructure, and mainly commercially used premises"
suburban,The image focuses on a space characterised as a residential area by detached houses with gardens and clearly separated properties. The impression of a quiet neighborhood may be intensified by only very little movement depicted in the image
